Site Name,Site,HR_age,Compost,Crops,Cover_Crop,Fallow,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,soil,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,CN_ratio,log_N,log_C,profileC,POXc,EOC,EON,MBC,MBN,MB_CN_ratio,glucam,glucos,cell, GWC,Infiltration_Dry,Infiltration_Wet,SH_15,SSH_30,Macroagg,Microagg,Total_Agg
HRF-Co,19,25,0,poppies,0,3,4,R,3,0,10,10,Corning,41.5,39.75,18.75,58.5,1.466277807,5.18,0.07974277,0.815878703,1.169250535,11.96304836,10.23138156,0.067907577,1.077841858,48.53268878,370.30,26.7,28.4,29.84275862,4.48,6.661330049,0.090219312,0.396748069,0.087968433,0.09375,52.36,773.73,85,150,37.9,22.1,60
Muller Co,20,9,0,grapes,0,0,4,H,1,0,10,10,Corning,31.5,53.75,14.75,68.5,1.404868318,5.6,0.133153301,1.514548568,1.87062854,21.27741299,11.37447256,0.271987556,1.327918823,65.96290055,434.82,29.2,21.1,85.6703252,11.13787263,7.691803279,0.278706026,1.785507165,0.198485186,0.041558442,NA,NA,NA,NA,20,14,34
Muller Co,20,9,0,grapes,0,0,4,H,2,0,10,10,Corning,31.5,55,13.5,68.5,1.404868318,5.63,0.251795808,2.943520267,3.537399535,41.35258367,11.6901083,0.548684114,1.616502649,93.11889601,727.96,106.0,20.4,242.736,64.1576,3.783433296,0.458335883,3.734961141,0.434673521,0.038461538,NA,NA,NA,NA,17.8,17.4,35.2
Muller Co,20,9,0,grapes,0,0,4,H,3,0,10,10,Corning,19.25,57.5,23.25,80.75,1.404868318,5.32,0.129011392,1.349851616,1.812440169,18.96363769,10.46304205,0.258263679,1.277921649,55.06284334,407.68,75.7,24.1,222.1102474,34.83328622,6.376379362,0.427884234,2.920326707,0.381018491,0.037414966,NA,NA,NA,NA,26.5,16.6,43.1
Muller Co,20,9,0,grapes,0,4,4,R,1,0,10,10,Corning,31.75,53.5,14.75,68.25,1.564426937,5.6,0.13262303,1.498503209,2.0747904,23.44298785,11.2989668,0.31697423,1.370012962,56.08806761,516.25,109.6,57.3,15.21530303,46.36780303,0.328143713,0.209995671,1.224154959,0.215098103,0.099590723,NA,NA,NA,NA,20.9,14.3,35.2
Muller Co,20,9,0,grapes,0,4,4,R,2,0,10,10,Corning,32.75,51.25,16,67.25,1.564426937,5.37,0.110855523,1.033916187,1.734253666,16.17486334,9.326699809,0.239112621,1.20884062,37.1042876,733.39,71.7,48.5,22.00072046,6.230821326,3.530950305,0.073175776,0.577212314,0.111197088,0.079575597,NA,NA,NA,NA,21.3,16,37.3
Muller Co,20,9,0,grapes,0,4,4,R,3,0,10,10,Corning,37.75,47.5,14.75,62.25,1.564426937,5.42,0.130455591,1.651635898,2.040882408,25.83863689,12.66052213,0.309817982,1.412269599,54.11607376,782.25,24.5,23.5,77.54751037,21.90248963,3.54057971,0.086110294,0.906082285,0.16083831,0.054901961,NA,NA,NA,NA,23.4,19.6,43
Gilmer,21,10,0,oat hay,1,0,4,H,1,0,10,10,Corning,46.5,43.75,9.75,53.5,1.124712774,5.51,0.128000424,1.568988622,1.439637122,17.64661545,12.25768298,0.158253037,1.246661422,55.82046332,456.54,29.3,33.0,226.47375,101.7225,2.226387967,0.771290034,3.347051384,2.255625813,0.111111111,27.75,69.31,25,95,44,15.9,59.9
Gilmer,21,10,0,oat hay,1,0,4,H,2,0,10,10,Corning,34.25,47.5,18.25,65.75,1.124712774,5.4,0.285008146,3.384926577,3.205523031,38.0707016,11.87659587,0.505898902,1.580590881,86.40920716,787.68,30.5,29.9,170.4225641,76.27074786,2.234442022,0.415914248,2.492026154,0.798925893,0.067729084,11.46,29.83,20,85,49.1,17.8,66.9
Gilmer,21,10,0,oat hay,1,0,4,H,3,0,10,10,Corning,44.25,43.5,12.25,55.75,1.124712774,5.34,0.219360567,2.69869417,2.467176319,30.35255806,12.3025492,0.392200188,1.482195299,84.20778362,695.39,39.9,26.2,174.8189573,86.53080568,2.020308906,0.473182122,3.553114739,1.147470208,0.120833333,41.04,81.38,50,120,35.7,20.4,56.1
